table_name,row_count,column_count
t_11_Product_Storage_Type_Data,0,10
t_11_Product_Valuation_Data,0,40
t_11_Product_Valuation_Current_Period,0,10
t_11_Product_Valuation_Future_Price,0,9
t_11_Customer_Basic_Data_mandatory,412,136
t_11_Customer_Additional_Descriptions,0,3
t_11_Customer_Seasons,0,9
t_11_Customer_Alternative_Units_of_Measure,0,15
t_11_Customer_Additional_GTINs,0,4
t_11_Customer_GTINs_Assigned_to_Supplier,0,6
t_11_Customer_Receipt_Texts,0,6
t_11_Customer_Article_Hierarchy,0,6
t_11_Customer_Class_Data,0,3
t_11_Customer_Characteristic_Data,0,10
t_11_Customer_Value_for_Variants,0,7
t_11_Customer_Distribution_Chains,0,49
t_11_Customer_Point_of_Sale_Data,0,10
t_11_Customer_Tax_Classification,0,20
t_11_Customer_Store_Replenishment,0,7
t_11_Customer_Plant_Data,0,146
t_11_Customer_Forecasting_Data,0,19
t_11_Customer_Storage_Locations,0,4
t_11_Customer_Production_Resources_Tools,0,23
t_11_Customer_Inspection_Setup_Data,0,30
t_11_Customer_MRP_Data_Store_Replenishment,0,6
t_11_Customer_MRP_Area,0,55
t_11_Customer_Warehouse_Number_Data,0,24
t_11_Customer_Storage_Type_Data,0,10
t_11_Customer_Valuation_Data,0,40
t_11_Customer_Valuation_Current_Period,0,10
t_11_Customer_Valuation_Future_Price,0,9
t_11_Contracts_General_Data_mandatory,0,19
t_11_Contracts_Text,0,6
t_11_Contracts_Text_with_Text_Type,0,7
t_11_Contracts_Classification,0,8
t_11_Contracts_Classification_Numbers,0,16
t_11_Contracts_Classification_Characteristic,0,8
t_11_Contracts_Classification_Currency,0,12
t_11_Contracts_Address_Dependent_Shipping,0,6
t_12_PersonalInfosegment_PersonalInfosegment,0,6
t_12_Personal_Info_object_Personal_Info_segment,9,9
KNA1,268,268
t_12_Customer_General_Data_mandatory,0,158
t_12_Customer_Data_Controller,0,2
t_12_Customer_BP_Roles_mandatory,0,2
t_12_Customer_Additional_Addresses,0,59
t_12_Customer_Address_Usages,0,4
t_12_Customer_International_Address_Versions,0,28
t_12_Customer_General_Texts,0,4
t_12_Customer_Sales_Data,0,51
t_12_Customer_Sales_Partner,0,12
t_12_Customer_Sales_Organization_Texts,0,7
t_12_Customer_Company_Data,0,53
t_12_Customer_Withholding_Tax_Data,0,13
t_12_Customer_Company_Texts,0,5
t_12_Customer_Bank_Data,0,10
t_12_Customer_Payment_Card_Data,0,9
t_12_Customer_Industries,0,4
t_12_Customer_Tax_Classification,0,5
t_12_Customer_Output_Tax,0,4
t_12_Customer_Tax_Numbers,0,3
t_12_Customer_Identification_Numbers,0,3
t_12_Customer_Contact_Person,0,44
t_12_Customer_Contact_Internat_Addr_Vers,0,16
t_12_Customer_Unloading_Point,0,33
t_12_Customer_Receiving_Point,0,3
t_12_Customer_Departments,0,7
t_12_Customer_VAT_Reg_Number_Against_Cust,0,18
t_12_Customer_TAN_And_Exemption_Number,0,12
t_12_Customer_Cust_Hier_For_Inv_Summary,0,16
t_12_Customer_Alternative_Name_For_Payer,0,6
t_12_Customer_Terms_of_Paym_W_Val_Period,0,4
t_12_Customer_Tax_Payment_Classification,0,4
t_12_Customer_Tax_Type_Assignment,0,5
t_12_Customer_VAT_Cash_Account_Regulation,0,4
t_13_Product_Basic_Data_mandatory,0,136
t_13_Product_Additional_Descriptions,0,3
t_13_Product_Seasons,0,9
t_13_Product_Alternative_Units_of_Measure,0,15
t_13_Product_Additional_GTINs,0,4
t_13_Product_GTINs_Assigned_to_Supplier,0,6
t_13_Product_Receipt_Texts,0,6
t_13_Product_Article_Hierarchy,0,6
t_13_Product_Class_Data,0,3
t_13_Product_Characteristic_Data,0,10
t_13_Product_Value_for_Variants,0,7
t_13_Product_Distribution_Chains,0,49
t_13_Product_Point_of_Sale_Data,0,10
t_13_Product_Tax_Classification,0,20
t_13_Product_Store_Replenishment,0,7
t_13_Product_Plant_Data,0,146
t_13_Product_Forecasting_Data,0,19
t_13_Product_Storage_Locations,0,4
t_13_Product_Production_Resources_Tools,0,23
t_13_Product_Inspection_Setup_Data,0,30
t_13_Product_MRP_Data_Store_Replenishment,0,6
t_13_Product_MRP_Area,0,55
t_13_Product_Warehouse_Number_Data,0,24
t_13_Product_Storage_Type_Data,0,10
t_13_Product_Valuation_Data,0,40
t_13_Product_Valuation_Current_Period,0,10
t_13_Product_Valuation_Future_Price,0,9
connection_fields,4692,9
connection_rule,227,19
t_13_Product_General_Data_mandatory,0,19
t_13_Product_Text,0,6
t_13_Product_Text_with_Text_Type,0,7
t_13_Product_Classification,0,8
t_13_Product_Classification_Numbers,0,16
t_13_Product_Classification_Characteristic,0,8
t_13_Product_Classification_Currency,0,12
t_13_Product_Address_Dependent_Shipping,0,6
t_15_Product_Basic_Data_mandatory,0,136
t_15_Product_Additional_Descriptions,0,3
t_15_Product_Seasons,0,9
t_15_Product_Alternative_Units_of_Measure,0,15
t_15_Product_Additional_GTINs,0,4
t_15_Product_GTINs_Assigned_to_Supplier,0,6
t_15_Product_Receipt_Texts,0,6
t_15_Product_Article_Hierarchy,0,6
t_15_Product_Class_Data,0,3
t_15_Product_Characteristic_Data,0,10
t_15_Product_Value_for_Variants,0,7
t_15_Product_Distribution_Chains,0,49
t_15_Product_Point_of_Sale_Data,0,10
t_15_Product_Tax_Classification,0,20
t_15_Product_Store_Replenishment,0,7
t_15_Product_Plant_Data,0,146
t_15_Product_Forecasting_Data,0,19
t_15_Product_Storage_Locations,0,4
t_15_Product_Production_Resources_Tools,0,23
t_15_Product_Inspection_Setup_Data,0,30
t_15_Product_MRP_Data_Store_Replenishment,0,6
t_15_Product_MRP_Area,0,55
t_15_Product_Warehouse_Number_Data,0,24
t_15_Product_Storage_Type_Data,0,10
t_15_Product_Valuation_Data,0,40
t_15_Product_Valuation_Current_Period,0,10
t_15_Product_Valuation_Future_Price,0,9
t_18_Product_Basic_Data_mandatory,412,136
t_18_Product_Additional_Descriptions,0,3
t_18_Product_Seasons,0,9
t_18_Product_Alternative_Units_of_Measure,0,15
t_18_Product_Additional_GTINs,0,4
t_18_Product_GTINs_Assigned_to_Supplier,0,6
t_18_Product_Receipt_Texts,0,6
t_18_Product_Article_Hierarchy,0,6
t_18_Product_Class_Data,0,3
t_18_Product_Characteristic_Data,0,10
t_18_Product_Value_for_Variants,0,7
t_18_Product_Distribution_Chains,0,49
t_18_Product_Point_of_Sale_Data,0,10
t_18_Product_Tax_Classification,0,20
t_18_Product_Store_Replenishment,0,7
t_18_Product_Plant_Data,0,146
t_18_Product_Forecasting_Data,0,19
t_18_Product_Storage_Locations,0,4
t_18_Product_Production_Resources_Tools,0,23
t_18_Product_Inspection_Setup_Data,0,30
t_18_Product_MRP_Data_Store_Replenishment,0,6
t_18_Product_MRP_Area,0,55
t_18_Product_Warehouse_Number_Data,0,24
t_18_Product_Storage_Type_Data,0,10
t_18_Product_Valuation_Data,0,40
t_18_Product_Valuation_Current_Period,0,10
t_18_Product_Valuation_Future_Price,0,9
t_20_PersonalInfoImportTemplateSFLAP048007_object_PersonalInfoImportTemplateSFLAP048007_segment,9,15
t_21_BasicUserInfoImportTemplateSFLAP048007_object_BasicUserInfoImportTemplateSFLAP048007_segment,9,54
t_22_Product_Basic_Data_mandatory,271,91
t_22_Product_Additional_Descriptions,269,3
